title,url,date_published,snippet,body
Business,https://www.economist.com/the-world-this-week/2022/06/02/business,2022-06-02T13:21:30Z,,The euro zones annual inflation rate leapt to 8.1% in May. The European Central Bank is expected to raise interest rates for the first time in a decade in July and again in September. Surging prices … [+4445 chars]
Why the oil price is spiking again,https://www.economist.com/finance-and-economics/2022/05/31/why-the-oil-price-is-spiking-again,2022-05-31T20:35:52Z,A tightening EU embargo of Russian oil is just one explanation,In the 1970s Arab states used the oil weapon of embargoes to punish Western governments for supporting Israel. On May 30th the heads of the 27 eu member governments agreed to turn the weapon on thems… [+4851 chars]
Why oil prices are spiking again,https://www.economist.com/finance-and-economics/2022/05/31/why-oil-prices-are-spiking-again,2022-05-31T20:35:52Z,A tightening EU embargo of Russian oil is just one explanation,In the 1970s Arab states used the oil weapon of embargoes to punish Western governments for supporting Israel. On May 30th the heads of the 27 eu member governments agreed to turn the weapon on thems… [+4856 chars]
Refiners are providing a fresh source of drama for oil markets,https://www.economist.com/finance-and-economics/2022/06/09/refiners-are-providing-a-fresh-source-of-drama-for-oil-markets,2022-06-09T10:31:08Z,"The low-key, low-margin industry is printing money","Americas driving season has officially begun. Despite rising inflation and the lingering threat of the pandemic, motorists hit the highways with gusto over the recent Memorial Day long weekend. Some … [+4721 chars]"
Could seizing Russian assets help rebuild Ukraine?,https://www.economist.com/finance-and-economics/2022/06/06/could-seizing-russian-assets-help-rebuild-ukraine,2022-06-06T20:27:15Z,There are both legal and practical hurdles in the way,"In 2011 viktor vekselberg, a metals tycoon and Kremlin insider, visited the team designing the Tango, a $90m yacht he had ordered, to oversee its construction. His attention to detail proved his undo… [+10429 chars]"
Why oil is back above $120 per barrel,https://www.economist.com/finance-and-economics/2022/05/31/why-oil-is-back-above-120-per-barrel,2022-05-31T20:35:52Z,A tightening EU embargo of Russian oil is just one explanation,In the 1970s Arab states used the oil weapon of embargoes to punish Western governments for supporting Israel. On May 30th the heads of the 27 eu member governments agreed to turn the weapon on thems… [+4799 chars]
Has Russia legalised intellectual-property theft?,https://www.economist.com/business/2022/06/02/has-russia-legalised-intellectual-property-theft,2022-06-02T09:06:33Z,A new law seems to strip away the IP rights of Western firms,"As its economy was being bombarded with Western sanctions in early March, Russia decided to amend a section of its civil code. The world took little notice of decree number 299, which authorised the … [+3203 chars]"
The West has a chance to wean India off Russian weaponry,https://www.economist.com/asia/2022/06/13/the-west-has-a-chance-to-wean-india-off-russian-weaponry,2022-06-13T17:31:24Z,"But co-operation on defence with America, in particular, remains fraught","Joint weapons production between India and the West has a long and chequered history. Consider the Tejas fighter jet, whose development was approved in 1983 by Indira Gandhi, the prime minister of th… [+6862 chars]"
The war in Ukraine has given the West a chance to wean India off Russian weaponry,https://www.economist.com/asia/2022/06/13/the-war-in-ukraine-has-given-the-west-a-chance-to-wean-india-off-russian-weaponry,2022-06-13T17:31:24Z,"But co-operation on defence with America, in particular, remains fraught","Joint weapons production between India and the West has a long and chequered history. Consider the Tejas fighter jet, whose development was approved in 1983 by Indira Gandhi, the prime minister of th… [+6862 chars]"
A plan to revive South Korea’s nuclear-power sector faces obstacles,https://www.economist.com/asia/2022/06/08/a-plan-to-revive-south-koreas-nuclear-power-sector-faces-obstacles,2022-06-08T16:48:29Z,But it could help wean the country off fossil fuels,"The south gate of Shin Hanul, a nuclear power station in Uljin on South Koreas east coast, does not get a lot of traffic. At lunchtime on a recent weekday there were no heavy vehicles to be seen, onl… [+3822 chars]"
Is Turkey more trouble to NATO than it is worth?,https://www.economist.com/europe/2022/06/16/is-turkey-more-trouble-to-nato-than-it-is-worth,2022-06-16T14:07:54Z,Recep Tayyip Erdogan’s government is the alliance’s loose cannon,"The received wisdom is that Russias invasion of Ukraine has breathed new life, and a new sense of purpose, urgency and unity into nato. Someone forgot to tell Recep Tayyip Erdogan. Over the past mont… [+6047 chars]"
Emmanuel Macron seeks to advertise his support for Ukraine,https://www.economist.com/europe/2022/06/14/emmanuel-macron-seeks-to-advertise-his-support-for-ukraine,2022-06-14T18:12:10Z,Confusion lingers about France’s attitude towards Russia’s war,"FRANCES PRESIDENT, Emmanuel Macron, left his electoral worries at home on June 14th when he flew to Romania to start a brief tour of eastern Europe. Just days before the run-off votes in legislative … [+5975 chars]"
Europe is squabbling—but remains united where it really matters,https://www.economist.com/europe/2022/06/02/europe-is-squabbling-but-remains-united-where-it-really-matters,2022-06-02T13:21:30Z,A new sanctions package belies complaints of internal rifts,"Unity among the nations of Europe is like a French soufflé. First comes the impressive puff, then, inexorably, a graceless sagging as the dish is tested by time and cutlery. Both the diplomat and the… [+6168 chars]"
NATO holds its most important summit in generations,https://www.economist.com/europe/2022/06/26/nato-holds-its-most-important-summit-in-generations,2022-06-26T19:24:55Z,The alliance is fortifying its eastern borders. But it is divided over how far to go in Ukraine,"WHEN NATO published its strategic concepta sort of vision statementin 2010, things were looking good. Today the Euro-Atlantic area is at peace and the threat of a conventional attack against NATO ter… [+10725 chars]"
Bashar al-Assad is hollowing out Syria’s ravaged state,https://www.economist.com/middle-east-and-africa/2022/06/16/bashar-al-assad-is-hollowing-out-syrias-ravaged-state,2022-06-16T14:07:53Z,Protection rackets and drug-dealing are big sources of income,"Forget flamboyant Arab dictators in military attire laden with medals or clad in swirling tribal robes. Bashar al-Assad, Syrias president, is the picture of modesty. Usually he wears no jewellery, no… [+5341 chars]"
Why the West should be wary of permanently seizing Russian assets,https://www.economist.com/leaders/2022/06/09/why-the-west-should-be-wary-of-permanently-seizing-russian-assets,2022-06-09T10:38:55Z,Permanently grabbing Russian assets is a seductive idea. It would also be a mistake,"More than 100 days into the war in Ukraine, the biggest sanctions programme ever imposed on a major economy is still being tightened. America and Europe have frozen Russias currency reserves held in … [+4513 chars]"
From freezing to seizing,https://www.economist.com/leaders/2022/06/09/from-freezing-to-seizing,2022-06-09T10:38:55Z,Why the West should be wary of permanently seizing Russian assets,"More than 100 days into the war in Ukraine, the biggest sanctions programme ever imposed on a major economy is still being tightened. America and Europe have frozen Russias currency reserves held in … [+4513 chars]"
A new nuclear era,https://www.economist.com/leaders/2022/06/02/a-new-nuclear-era,2022-06-02T09:15:42Z,"With his threats to use the bomb, Russia’s president has overturned the nuclear order","One hundred days ago Vladimir Putin launched his invasion of Ukraine by warning of a nuclear strike. Having exalted Russias atomic arsenal and promised Ukraines subjugation, he threatened countries t… [+6374 chars]"
Energy security gives climate-friendly nuclear-power plants a new appeal,https://www.economist.com/briefing/2022/06/23/energy-security-gives-climate-friendly-nuclear-power-plants-a-new-appeal,2022-06-23T15:24:24Z,To make good on it they have to get easier to build,"The worlds largest crane, Big Carl, trundles up and down the railway which bisects the site. To the south are cavernous temporary structures which serve as factory floors, sheltered from the elements… [+16365 chars]"
Russia’s invasion of Ukraine has eroded the nuclear taboo,https://www.economist.com/briefing/2022/06/02/russias-invasion-of-ukraine-has-eroded-the-nuclear-taboo,2022-06-02T09:59:01Z,This war is unlikely to go nuclear. But it is increasing the risk that future conflicts will,"In 1999 nina tannenwald, a political scientist at Brown University, wrote a paper analysing something she had observed among generals, politicians and strategists: the nuclear taboo. This was not, sh… [+16173 chars]"
Oligarch megayacht hides in UAE creek...,https://apnews.com/article/russia-ukraine-politics-technology-middle-east-c6592eb5a483c7d95e47cc9bd8f77bde,2022-06-01T12:07:36Z,"Oligarch megayacht hides in UAE creek...

 
 
 
 (Top headline, 8th story, link)

 

 

 
 Related stories:Kremlin propaganda declares WW3 has started...
Threatens to wipe out USA with Satan II missiles...
Biden to Provide Ukraine With Advanced Rocket S…","RAS AL-KHAIMAH, United Arab Emirates (AP) In the dusty, northern-most sheikhdom of the United Arab Emirates, where laborers cycle by rustic tea shops, one of the worlds largest yachts sits in a quiet… [+6123 chars]"
"Missiles strike Kyiv, shattering sense of calm...",https://apnews.com/article/russia-ukraine-kyiv-government-and-politics-e98d1d788e132c2a1f2c8ead7ae58761,2022-06-05T10:10:36Z,"Missiles strike Kyiv, shattering sense of calm...

 
 
 
 (Top headline, 3rd story, link)

 

 

 
 Related stories:WAR TURNS: Hail of Russian artillery tests Ukrainian morale...
'They're in hell'...
Zelensky losing 60 to 100 soldiers a day...
Battle i…","KYIV, Ukraine (AP) Russias defense ministry said a barrage of airstrikes on Ukraines capital destroyed tanks donated by the West and other armor in an attack on Sunday that shattered five weeks of ee… [+8085 chars]"
Key city's fate in balance as fighting rages in east Ukraine...,https://apnews.com/article/russia-ukraine-moscow-business-blockades-74883ed750fb8778259cf733e1095fb8,2022-06-09T11:49:40Z,"BAKHMUT, Ukraine (AP) — The human cost of the war in Ukraine  mounted as workers pulled up to 100 bodies from each smashed building in the devastated city of Mariupol — a gruesome effort that one official described as an “endless caravan of death.”","BAKHMUT, Ukraine (AP) The human cost of the war in Ukraine mounted as workers pulled up to 100 bodies from each smashed building in the devastated city of Mariupol a gruesome effort that one official… [+6209 chars]"
Biden Says US Will Provide Advanced Rocket Systems to Ukraine...,https://apnews.com/article/russia-ukraine-kyiv-politics-middle-east-fc6b7e347f0aa95d8aa3654479677f6f,2022-06-01T00:34:36Z,"Biden Says US Will Provide Advanced Rocket Systems to Ukraine...

 
 
 
 (Top headline, 4th story, link)

 

 

 
 Related stories:Kremlin propaganda declares 'WW3 has started'...
Threatens to wipe out USA with just four Satan II missiles...
Moscow Mili…","KYIV, Ukraine A regional Ukrainian governor on Tuesday said the Russian bombardment has caused a leak of toxic nitric acid from an industrial facility.
Luhansk Gov. Serhiy Haidai said a Russian air … [+16034 chars]"
Macron says Russia can't win...,https://apnews.com/article/russia-ukraine-politics-united-nations-terrorist-attacks-be890f11b0a5abfb41ddb1cfc8d5b212,2022-06-28T16:34:39Z,"Macron says Russia can't win...

 
 
 
 (First column, 9th story, link)

 

 

 
 Related stories:Pentagon Blasts Putin Nuke Saber-Rattling...
NATO INCREASES FORCES TO 300,000...
UK: '1937 MOMENT'...

 

 
 
 Drudge Report Feed needs your support!   B…","KREMENCHUK, Ukraine (AP) Frances president denounced Russias fiery airstrike on a crowded shopping mall in Ukraine as a new war crime Tuesday and vowed the Wests support for Kyiv would not waver, say… [+6465 chars]"
